component_id,count,mean,min,max
585,4,0.964858,0.964858,0.964858
588,4,0.988823,0.988823,0.988823
626,4,0.992715,0.992715,0.992715
629,18,1.000000,1.000000,1.000000
736,4,0.968783,0.968783,0.968783
737,4,0.968936,0.968936,0.968936
742,4,0.977814,0.977814,0.977814
771,4,1.000000,1.000000,1.000000
773,12,0.993536,0.990304,1.000000
794,4,0.994160,0.994160,0.994160
798,4,0.999835,0.999835,0.999835
800,4,0.986493,0.986493,0.986493
843,24,0.988122,0.962557,1.000000
869,4,1.000000,1.000000,1.000000
915,12,0.966958,0.961243,0.976589
921,4,1.000000,1.000000,1.000000
933,4,0.988521,0.988521,0.988521
939,4,0.971729,0.971729,0.971729
968,12,0.997533,0.996299,1.000000
995,12,0.971853,0.963778,0.985536
1032,24,0.978988,0.968435,0.985048
1053,4,1.000000,1.000000,1.000000
1055,4,0.971397,0.971397,0.971397
1057,4,1.000000,1.000000,1.000000
1061,12,0.997700,0.996550,1.000000
1105,4,1.000000,1.000000,1.000000
1108,12,0.987596,0.981425,0.999878
2409,4,1.000000,1.000000,1.000000
2435,4,0.995589,0.995589,0.995589
2518,4,1.000000,1.000000,1.000000
2540,4,1.000000,1.000000,1.000000
2586,4,0.985986,0.985986,0.985986
2592,4,0.970091,0.970091,0.970091
2600,4,0.998879,0.998879,0.998879
2620,4,0.995217,0.995217,0.995217
2643,4,0.985525,0.985525,0.985525
2648,4,1.000000,1.000000,1.000000
2674,4,1.000000,1.000000,1.000000
2684,4,1.000000,1.000000,1.000000
2719,4,1.000000,1.000000,1.000000
2732,4,0.979795,0.979795,0.979795
2776,4,0.969697,0.969697,0.969697
2805,4,1.000000,1.000000,1.000000
2845,4,1.000000,1.000000,1.000000
2847,4,1.000000,1.000000,1.000000
2902,4,0.988287,0.988287,0.988287
2926,12,1.000000,1.000000,1.000000
2978,4,1.000000,1.000000,1.000000
3020,4,1.000000,1.000000,1.000000
3071,4,0.999999,0.999999,0.999999
3098,4,1.000000,1.000000,1.000000
3113,4,0.982215,0.982215,0.982215
3161,4,0.995440,0.995440,0.995440
3166,4,1.000000,1.000000,1.000000
3282,4,0.998149,0.998149,0.998149
3305,4,1.000000,1.000000,1.000000
3336,4,1.000000,1.000000,1.000000
3340,4,1.000000,1.000000,1.000000
3491,12,1.000000,1.000000,1.000000
3493,4,1.000000,1.000000,1.000000
3503,4,1.000000,1.000000,1.000000
3511,4,1.000000,1.000000,1.000000
3547,16,0.991142,0.982285,1.000000
3555,12,0.989797,0.984696,1.000000
3582,4,1.000000,1.000000,1.000000
3614,4,0.990716,0.990716,0.990716
3699,4,1.000000,1.000000,1.000000
3716,4,1.000000,1.000000,1.000000
3717,4,1.000000,1.000000,1.000000
3734,4,0.963536,0.963536,0.963536
3740,4,1.000000,1.000000,1.000000
3741,4,0.998962,0.998962,0.998962
3878,4,0.973513,0.973513,0.973513
3882,4,0.973227,0.973227,0.973227
3933,4,1.000000,1.000000,1.000000
3981,4,1.000000,1.000000,1.000000
4105,4,1.000000,1.000000,1.000000
4114,4,1.000000,1.000000,1.000000
4123,4,0.989540,0.989540,0.989540
4124,4,1.000000,1.000000,1.000000
4192,4,0.989600,0.989600,0.989600
4211,4,0.965984,0.965984,0.965984
4212,4,1.000000,1.000000,1.000000
4286,4,1.000000,1.000000,1.000000
4298,4,0.999155,0.999155,0.999155
4338,4,0.996245,0.996245,0.996245
4348,4,0.974724,0.974724,0.974724
4350,4,1.000000,1.000000,1.000000
4390,4,0.978732,0.978732,0.978732
4460,4,1.000000,1.000000,1.000000
4473,4,1.000000,1.000000,1.000000
4489,4,1.000000,1.000000,1.000000
4554,4,0.964884,0.964884,0.964884
4627,4,1.000000,1.000000,1.000000
4634,4,1.000000,1.000000,1.000000
4664,4,0.982356,0.982356,0.982356
4695,4,1.000000,1.000000,1.000000
4721,4,1.000000,1.000000,1.000000
4727,4,0.967768,0.967768,0.967768
4789,4,1.000000,1.000000,1.000000
4817,4,1.000000,1.000000,1.000000
4882,4,1.000000,1.000000,1.000000
5013,4,1.000000,1.000000,1.000000
5031,4,1.000000,1.000000,1.000000
5047,4,1.000000,1.000000,1.000000
10282,4,1.000000,1.000000,1.000000
10312,4,0.991800,0.991800,0.991800
10318,4,1.000000,1.000000,1.000000
10333,4,0.975411,0.975411,0.975411
10337,12,1.000000,1.000000,1.000000
10350,4,1.000000,1.000000,1.000000
10355,4,1.000000,1.000000,1.000000
10372,4,1.000000,1.000000,1.000000
10402,4,1.000000,1.000000,1.000000
10415,4,1.000000,1.000000,1.000000
10430,4,1.000000,1.000000,1.000000
10475,4,1.000000,1.000000,1.000000
10510,4,1.000000,1.000000,1.000000
10519,4,0.997123,0.997123,0.997123
10554,4,0.996283,0.996283,0.996283
10569,4,1.000000,1.000000,1.000000
10602,4,0.966099,0.966099,0.966099
10615,4,0.997088,0.997088,0.997088
10633,4,1.000000,1.000000,1.000000
10708,4,1.000000,1.000000,1.000000
10728,4,1.000000,1.000000,1.000000
10731,4,0.962501,0.962501,0.962501
10741,8,0.972970,0.968989,0.976951
10765,4,1.000000,1.000000,1.000000
10767,4,1.000000,1.000000,1.000000
10770,4,1.000000,1.000000,1.000000
10782,4,1.000000,1.000000,1.000000
10796,4,1.000000,1.000000,1.000000
10809,4,1.000000,1.000000,1.000000
10813,4,0.984175,0.984175,0.984175
10815,4,1.000000,1.000000,1.000000
10838,4,1.000000,1.000000,1.000000
10881,36,1.000000,1.000000,1.000000
10885,4,0.998360,0.998360,0.998360
10891,4,1.000000,1.000000,1.000000
10892,4,0.965232,0.965232,0.965232
10893,4,1.000000,1.000000,1.000000
10913,4,1.000000,1.000000,1.000000
10929,4,1.000000,1.000000,1.000000
10933,4,1.000000,1.000000,1.000000
10945,16,0.965837,0.964783,0.967643
